<log2(byte array size)>	<150 MB stride latency>	<8 MB stride latency>	<4 MB stride latency>	<24 KB stride latency>	<12 KB stride latency>
8	4.77	4.77	4.79	4.79	4.79
9	4.79	4.79	4.79	4.79	4.78
10	4.79	4.78	4.77	4.78	4.79
11	4.78	4.78	4.79	4.79	4.79
12	4.79	4.78	4.77	4.78	4.79
13	4.79	4.78	4.80	4.78	4.78
14	4.77	4.79	4.76	4.77	4.79
15	4.88	4.87	4.87	4.81	4.86
16	14.62	14.38	8.91	10.64	15.49
17	13.20	16.87	7.38	14.32	16.90
18	15.62	17.06	7.62	17.06	16.98
19	17.04	11.59	17.06	16.21	17.06
20	17.14	17.14	17.13	17.13	17.17
21	22.70	23.86	18.65	19.53	20.45
22	47.97	65.81	61.05	69.91	60.20
23	137.31	163.73	133.18	110.25	150.84
24	231.98	244.90	213.76	146.05	173.37
25	260.95	256.47	177.55	257.49	258.40
26	258.33	259.63	261.61	258.39	258.79
27	263.01	273.29	267.46	259.76	258.59
28	279.62	296.40	287.35	263.71	266.40
29	340.11	317.38	310.73	277.76	273.15
30	400.68	321.66	397.28	286.69	274.97
31	471.42	378.22	468.32	287.05	273.88
Memory read bandwith = 20.63 GB/sec

Memory write bandwith = 6.87 GB/sec

